experiment_id,experiment_label,publication_status,source_workbook,source_row,source_column,host,host_type,plant_id,plant_number,treatment_class,isolate_1,isolate_2,mixture_ratio,total_dose_conidia_per_ml,component_dose_conidia_per_ml,condition_id,subsample_id,ordinal_score,raw_code
E1_BTx398_AMP155_AMP170,Experiment 1,published,source_workbook_A_experiments_1_2.xlsx,6,2,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P04,4,single,AMP155,,,1000000,1000000,E1_BTx398_AMP155_AMP170|AMP155|1000000,3,2,342
E1_BTx398_AMP155_AMP170,Experiment 1,published,source_workbook_A_experiments_1_2.xlsx,6,3,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P04,4,single,AMP155,,,500000,500000,E1_BTx398_AMP155_AMP170|AMP155|500000,1,2,222
E1_BTx398_AMP155_AMP170,Experiment 1,published,source_workbook_A_experiments_1_2.xlsx,6,3,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P04,4,single,AMP155,,,500000,500000,E1_BTx398_AMP155_AMP170|AMP155|500000,2,2,222
E1_BTx398_AMP155_AMP170,Experiment 1,published,source_workbook_A_experiments_1_2.xlsx,6,3,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P04,4,single,AMP155,,,500000,500000,E1_BTx398_AMP155_AMP170|AMP155|500000,3,2,222
E1_BTx398_AMP155_AMP170,Experiment 1,published,source_workbook_A_experiments_1_2.xlsx,6,4,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P04,4,single,AMP155,,,100000,100000,E1_BTx398_AMP155_AMP170|AMP155|100000,1,2,223
E1_BTx398_AMP155_AMP170,Experiment 1,published,source_workbook_A_experiments_1_2.xlsx,6,4,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P04,4,single,AMP155,,,100000,100000,E1_BTx398_AMP155_AMP170|AMP155|100000,2,2,223
E1_BTx398_AMP155_AMP170,Experiment 1,published,source_workbook_A_experiments_1_2.xlsx,6,4,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P04,4,single,AMP155,,,100000,100000,E1_BTx398_AMP155_AMP170|AMP155|100000,3,3,223
E1_BTx398_AMP155_AMP170,Experiment 1,published,source_workbook_A_experiments_1_2.xlsx,6,5,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P04,4,single,AMP155,,,50000,50000,E1_BTx398_AMP155_AMP170|AMP155|50000,1,2,221
E1_BTx398_AMP155_AMP170,Experiment 1,published,source_workbook_A_experiments_1_2.xlsx,6,5,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P04,4,single,AMP155,,,50000,50000,E1_BTx398_AMP155_AMP170|AMP155|50000,2,2,221
E1_BTx398_AMP155_AMP170,Experiment 1,published,source_workbook_A_experiments_1_2.xlsx,6,5,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P04,4,single,AMP155,,,50000,50000,E1_BTx398_AMP155_AMP170|AMP155|50000,3,1,221
