experiment_id,experiment_label,publication_status,source_workbook,source_row,source_column,host,host_type,plant_id,plant_number,treatment_class,isolate_1,isolate_2,mixture_ratio,total_dose_conidia_per_ml,component_dose_conidia_per_ml,condition_id,technical_subsamples,plant_mean_score,raw_code
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,6,4,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P04,4,single,AMP155,,,100000,100000,E1_BTx398_AMP155_AMP170|AMP155|100000,3,2.3333333333333335,223
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,6,5,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P04,4,single,AMP155,,,50000,50000,E1_BTx398_AMP155_AMP170|AMP155|50000,3,1.6666666666666667,221
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,6,6,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P04,4,single,AMP155,,,10000,10000,E1_BTx398_AMP155_AMP170|AMP155|10000,3,1.0,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,6,7,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P04,4,single,AMP155,,,5000,5000,E1_BTx398_AMP155_AMP170|AMP155|5000,3,1.0,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,7,2,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P05,5,single,AMP155,,,1000000,1000000,E1_BTx398_AMP155_AMP170|AMP155|1000000,3,2.3333333333333335,223
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,7,3,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P05,5,single,AMP155,,,500000,500000,E1_BTx398_AMP155_AMP170|AMP155|500000,3,2.0,222
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,7,4,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P05,5,single,AMP155,,,100000,100000,E1_BTx398_AMP155_AMP170|AMP155|100000,3,2.0,222
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,7,5,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P05,5,single,AMP155,,,50000,50000,E1_BTx398_AMP155_AMP170|AMP155|50000,3,1.6666666666666667,221
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,7,6,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P05,5,single,AMP155,,,10000,10000,E1_BTx398_AMP155_AMP170|AMP155|10000,3,1.0,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,7,7,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P05,5,single,AMP155,,,5000,5000,E1_BTx398_AMP155_AMP170|AMP155|5000,3,1.0,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,8,2,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P06,6,single,AMP155,,,1000000,1000000,E1_BTx398_AMP155_AMP170|AMP155|1000000,3,2.6666666666666665,233
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,8,3,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P06,6,single,AMP155,,,500000,500000,E1_BTx398_AMP155_AMP170|AMP155|500000,3,1.6666666666666667,212
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,8,4,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P06,6,single,AMP155,,,100000,100000,E1_BTx398_AMP155_AMP170|AMP155|100000,3,2.3333333333333335,223
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,8,5,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P06,6,single,AMP155,,,50000,50000,E1_BTx398_AMP155_AMP170|AMP155|50000,3,2.3333333333333335,232
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,8,6,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P06,6,single,AMP155,,,10000,10000,E1_BTx398_AMP155_AMP170|AMP155|10000,3,1.0,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,8,7,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P06,6,single,AMP155,,,5000,5000,E1_BTx398_AMP155_AMP170|AMP155|5000,3,1.0,111
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,10,2,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P01,1,single,AMP170,,,1000000,1000000,E1_BTx398_AMP155_AMP170|AMP170|1000000,3,1.3333333333333333,211
E1_BTx398_AMP155_AMP170,Experiment 1,published,Raw score2 (1).xlsx,10,3,BTx398,sorghum,E1_BTx398_AMP155_AMP170_P01,1,single,AMP170,,,500000,500000,E1_BTx398_AMP155_AMP170|AMP170|500000,3,1.3333333333333333,112
