analysis_family,experiment_id,experiment_label,publication_status,host,isolate,clusters,technical_scores,working_correlation,cell_equalizing_weights,covariance,fit_success,converged,log10_dose_coefficient,bias_reduced_standard_error,coefficient_lcl_95,coefficient_ucl_95,z,p,warning_count,warnings,p_holm_within_family
published_primary,E1_BTx398_AMP155_AMP170,Experiment 1,published,BTx398,AMP155,6,108,independence,True,bias_reduced,True,True,3.420219938675173,0.5676776048331071,2.307592278372322,4.532847598978024,6.024933711592677,1.6917894788392282e-09,0,,1.3534315830713825e-08
published_primary,E1_BTx398_AMP155_AMP170,Experiment 1,published,BTx398,AMP170,6,108,independence,True,bias_reduced,True,True,1.4800712538549425,0.5466573756411035,0.40864248571519624,2.5515000219946886,2.707493431546879,0.0067793412294148425,0,,0.020338023688244528
published_primary,E2_RTx2536_AMP77_AMP207,Experiment 2,published,RTx2536,AMP207,6,108,independence,True,bias_reduced,True,True,2.4667669324917294,0.3974365886572954,1.6878055325849703,3.2457283323984885,6.206693099962147,5.411112251678885e-10,0,,4.870001026510997e-09
published_primary,E2_RTx2536_AMP77_AMP207,Experiment 2,published,RTx2536,AMP77,6,108,independence,True,bias_reduced,True,True,1.536300458491049,0.36839334171645494,0.8142627765824402,2.2583381403996574,4.170272055767796,3.042362263339748e-05,0,,0.00018254173580038488
published_primary,E3_BTx398_AMP99_AMP170,Experiment 3,published,BTx398,AMP170,7,126,independence,True,bias_reduced,True,True,2.7066601541972846,0.4162748323559776,1.8907764751091196,3.5225438332854493,6.502098959186374,7.920696446834532e-11,0,,7.920696446834532e-10
published_primary,E3_BTx398_AMP99_AMP170,Experiment 3,published,BTx398,AMP99,7,126,independence,True,bias_reduced,True,True,0.6722051484111831,0.3905438065023753,-0.09324664671865235,1.4376569435410185,1.7212029411791343,0.08521400431366319,0,,0.08521400431366319
published_primary,E4_Theis_AMP99_AMP170,Experiment 4,published,Theis,AMP170,6,108,independence,True,bias_reduced,True,True,1.880033045198492,0.5759055472897162,0.7512789140138192,3.008787176383165,3.264481570018145,0.0010966459728973563,0,,0.004386583891589425
published_primary,E4_Theis_AMP99_AMP170,Experiment 4,published,Theis,AMP99,6,108,independence,True,bias_reduced,True,True,0.882166125778956,0.19529035689653415,0.4994040597337757,1.2649281918241364,4.517202691407504,6.266191823437204e-06,0,,4.3863342764060424e-05
published_primary,E5_SH1152_FSP35_FSP53,Experiment 5,published,SH1152,FSP35,6,108,independence,True,bias_reduced,True,True,2.8112795004854134,0.7769241989467934,1.2885360518320665,4.3340229491387605,3.6184733392220414,0.0002963460213082575,0,,0.0014817301065412876
published_primary,E5_SH1152_FSP35_FSP53,Experiment 5,published,SH1152,FSP53,6,108,independence,True,bias_reduced,True,True,1.305129963587422,0.6171777107918427,0.09548387837453287,2.5147760488003112,2.114674494503265,0.03445769964265079,0,,0.06891539928530158
historical_secondary,H1_RTx2536_AMP20_AMP27,Historical block 1,historical,RTx2536,AMP20,6,108,independence,True,bias_reduced,True,True,2.2881808051659336,0.4774102927996821,1.3524738254298347,3.2238877849020326,4.792902121458948,1.643858366265527e-06,0,,4.9315750987965816e-06
historical_secondary,H1_RTx2536_AMP20_AMP27,Historical block 1,historical,RTx2536,AMP27,6,108,independence,True,bias_reduced,True,True,0.3135832595245834,0.1235375815745124,0.07145404890136009,0.5557124701478067,2.5383632699288663,0.011137231263579418,0,,0.011137231263579418
historical_secondary,H2_IS18760_AMP20_AMP27,Historical block 2,historical,IS18760,AMP20,6,108,independence,True,bias_reduced,True,True,2.3796353677737305,0.5168562636542413,1.366615705827479,3.392655029719982,4.604056359788305,4.143402534061325e-06,0,,8.28680506812265e-06
historical_secondary,H2_IS18760_AMP20_AMP27,Historical block 2,historical,IS18760,AMP27,6,108,independence,True,bias_reduced,True,True,1.9679471194916753,0.30303770069538866,1.3740041401708851,2.5618900988124658,6.494066959245582,8.35495841505122e-11,0,,3.341983366020488e-10
